execution_id,recommendation_id,job_id,action_taken,old_region,new_region,execution_status,mock_ticket_id,mock_pr_url,executed_at,pricing_source
5648a92c,c3f3e159,az-WgPZpnNYXuY7z2wxaUvahLwcF0KfVgUbaku/jssAIu+ARTmy2izfDvFUHVrtRgGu,time_shift,eu-west-1,eu-west-1,success,SUST-9317,https://github.com/org/infra/pull/317,2026-04-30 11:52:34.836844,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
7ed93a01,4f29e021,az-xHnP4sE1TZ5ZCJP0TqsZS4rfbNg9hA3FniHQFUa0jZqWbmWvtTEUZU+xG4b0tU1c,time_shift,ap-south-1,ap-south-1,success,SUST-4465,https://github.com/org/infra/pull/465,2026-04-30 11:52:35.960570,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
430491ab,359f2106,az-65Lvg3enQdG5vph5O0A5sV1t044kBBE/uOhYChZNg18KH+fwzhC8avyymxLPj9c+,time_shift,eu-west-1,eu-west-1,success,SUST-3763,https://github.com/org/infra/pull/763,2026-04-30 11:52:37.121094,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
3d7e2cd4,9753fc15,az-mLf+GgKIHBKXqB5SQJ3Z9/7FleU79kKeefDcPPpZGwbrkK8BQyJP26qs/nj99Q9P,region_shift,eu-west-1,eu-north-1,success,SUST-4503,https://github.com/org/infra/pull/503,2026-04-30 11:52:38.289282,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
b66cb698,8dbd1685,az-TfuKW35JOr9n6egrZz5iSTMZWvI4fMIYOt8OUBD4xDQVkYyWplVuqOvhiy/TYOOe,time_shift,eu-west-1,eu-west-1,success,SUST-5372,https://github.com/org/infra/pull/372,2026-04-30 11:52:39.728116,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
fd959c72,29ce5f40,az-e6xL14BUWcT5KvL4Rc6zFgnYC7qGS4mFeOQd3zp94Pl6t7ECHcJqsv1xIZ8C7RJq,time_shift,eu-west-1,eu-west-1,success,SUST-9269,https://github.com/org/infra/pull/269,2026-04-30 11:52:40.751107,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
70b90d3d,0960c2dd,az-IiNbzJJbnR0hBRK6Hz22aQGi+mGk/LowdH633HkvOyAh4aBT608X6j6DriBKzguY,time_shift,eu-west-1,eu-west-1,success,SUST-3073,https://github.com/org/infra/pull/73,2026-04-30 11:52:40.751252,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
b89d4d71,bb24f151,az-+uUyOwbtVV4zrAhYGhaOVeYT5sz605DC0WI7Nx8I2FBku0t0ZLVHc7Rob+eSx2HE,time_shift,eu-west-1,eu-west-1,success,SUST-4000,https://github.com/org/infra/pull/0,2026-04-30 11:52:40.751347,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
74d18e79,242ea99e,az-xm9muoZR+/cC5CDKNTxdE0nXWeitimk8kYP7S1sC+gMkHmnXXN7UbP6u20K9dcak,time_shift,eu-west-1,eu-west-1,success,SUST-0327,https://github.com/org/infra/pull/327,2026-04-30 11:52:40.751433,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
12003884,c01960c6,az-ehhvCWPrJ/uyFImXXamAwNaG/zlsjF7PO+IQsssdp64hHlyZcrUaWD0Wi1+KBIlU,region_shift+time_shift,us-east-1,us-west-2,success,SUST-7964,https://github.com/org/infra/pull/964,2026-04-30 11:52:40.751529,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
7c31775d,1071df8d,az-wUbbPYABsY2UyaGey8BYdCliDun/FP0tGP5eWRRgrrgVTfZdq5g4OkzQS+bA1MTJ,time_shift,eu-west-1,eu-west-1,success,SUST-5768,https://github.com/org/infra/pull/768,2026-04-30 11:52:40.751623,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
1566cfc9,c350f60e,az-3XFpwJQvGXXFGRP12ftkdFBR9K3LuZ/klB2zxnrtsQ7uTjDTDs1s8mSlZp8muXb9,region_shift,ap-south-1,us-west-2,success,SUST-1325,https://github.com/org/infra/pull/325,2026-04-30 11:52:40.751714,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
0fe5e29c,8fe14bd5,az-c8Xnn1R4SePW9L6szWhdwXTmKKfU7DDo49TR8lEE87J3O5Ynk/YdP57U34SBS+GU,time_shift,eu-west-1,eu-west-1,success,SUST-6796,https://github.com/org/infra/pull/796,2026-04-30 11:52:40.751799,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
191b10e4,1de67d18,az-BsDdOD8kf31obDEyI2puGv4Yt1tRXLLuuANWw2kajKDy7qVHfNvDQ0O2kKKG91hi,time_shift,eu-west-1,eu-west-1,success,SUST-6481,https://github.com/org/infra/pull/481,2026-04-30 11:52:40.751889,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
f2ea6f08,2149a6d7,az-hHjOSQe4vZ+fJ3xheCf3ibJZqTJ3nORiOU+KMEcuJJNWqTTO9dTqzzTTY51dB62R,time_shift,eu-west-1,eu-west-1,success,SUST-6108,https://github.com/org/infra/pull/108,2026-04-30 11:52:40.751972,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
7dbd1b80,1f84d69c,az-uGXa9PJ2VOgQ5AG3g7fyOHt+eiyMSa8E/DjypuftkvKWpFZSLklsomGGafR2gD/N,region_shift,us-east-1,us-west-2,success,SUST-0232,https://github.com/org/infra/pull/232,2026-04-30 11:52:40.752059,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
1f5f68c9,13d16543,az-cEAUwxVKC7HFTddTQpHpThaFa5I6HpJW+hoFxPzgz36ckXtRCugct0G2qrKbjm1q,time_shift,us-west-2,us-west-2,success,SUST-2011,https://github.com/org/infra/pull/11,2026-04-30 11:52:40.752141,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
