job_id,name,team_id,service_name,region,vcpus,gpu_count,duration_hours,category,started_at,ended_at,workload_type,cost_usd,kgco2e,kgco2e_lower,kgco2e_upper
az-WgPZpnNYXuY7z2wxaUvahLwcF0KfVgUbaku/jssAIu+ARTmy2izfDvFUHVrtRgGu,azure-vm-WgPZpnNYXuY7z2wxaUvahLwcF0KfVgUbaku/jssAIu+ARTmy2izfDvFUHVrtRgGu,eu-frontend,deploy-gw5l9LL9,eu-west-1,4,0,0.136,balanced,2025-01-03 20:31:07.098865,2025-01-03 20:39:17.212317,ci_cd,0.0291,0.001238,0.00099,0.001485
az-PL4KrUkp1ER8sZYLhzCE11JyTc9Zl9fqicly7ftk4eXkw8SFz+7eqcKzBCLm910O,azure-vm-PL4KrUkp1ER8sZYLhzCE11JyTc9Zl9fqicly7ftk4eXkw8SFz+7eqcKzBCLm910O,backend-api,deploy-7T/2ivxY,us-east-1,2,0,0.078,balanced,2025-01-06 19:12:56.012966,2025-01-06 19:17:36.077796,ci_cd,0.0075,0.000356,0.000321,0.000392
az-dDlomqWqWdG87PLuKbgui7ut1mhbl7LtWG5G0vMJML95ISvHcBlIolr9zgGH3rE7,azure-vm-dDlomqWqWdG87PLuKbgui7ut1mhbl7LtWG5G0vMJML95ISvHcBlIolr9zgGH3rE7,devops,deploy-tbJWAhPo,us-west-2,2,0,0.759,balanced,2025-01-01 21:39:58.055105,2025-01-01 22:25:28.687196,dev_test,0.0729,0.000297,0.000267,0.000327
az-w+8LHZ3vNvn9acRpTEUtp9jE+krfDrcTdbyFAgUXGUr0MUCVjmgkwZ1L0CV+0ek1,azure-vm-w+8LHZ3vNvn9acRpTEUtp9jE+krfDrcTdbyFAgUXGUr0MUCVjmgkwZ1L0CV+0ek1,eu-frontend,deploy-Ssk+Vwc6,us-west-2,4,0,0.039,balanced,2025-01-01 05:01:04.181524,2025-01-01 05:03:24.213939,ci_cd,0.0075,3.5e-05,3.2e-05,3.9e-05
az-t2oDadeRvdtSRYGj6+MLhFA3ciq55A+mpVTkE3Ht/A9iyThSjWmxqFTDrlmtazar,azure-vm-t2oDadeRvdtSRYGj6+MLhFA3ciq55A+mpVTkE3Ht/A9iyThSjWmxqFTDrlmtazar,frontend,deploy-bPQsXvQQ,us-east-1,4,0,0.097,balanced,2025-01-02 18:39:05.542950,2025-01-02 18:44:55.623987,ci_cd,0.0186,0.000892,0.000803,0.000981
az-R7FPjilGlbQVPa/mP6kx/vKbTK8s4BxSSBg82bObp5QjRerAWSJaUD9dP9tD16HO,azure-vm-R7FPjilGlbQVPa/mP6kx/vKbTK8s4BxSSBg82bObp5QjRerAWSJaUD9dP9tD16HO,eu-backend,deploy-VDaBZZP9,us-east-1,2,0,4.804,balanced,2025-01-07 08:21:46.969206,2025-01-07 13:10:00.972447,batch_analytics,0.4612,0.022062,0.019853,0.024266
az-/IwVr6YFZla2z/K0rozqt5xef03k9Mz+nn2KzxRurcIIPoxrdubFxA5JnVEiVT3i,azure-vm-/IwVr6YFZla2z/K0rozqt5xef03k9Mz+nn2KzxRurcIIPoxrdubFxA5JnVEiVT3i,eu-backend,deploy-/M/NNfrx,us-west-2,4,0,0.033,balanced,2025-01-01 21:18:57.763371,2025-01-01 21:20:57.763371,ci_cd,0.0063,2.6e-05,2.3e-05,2.8e-05
az-KCdzspjpwDZRxP1+14roxSpx8A0b9OeLbq4enwncHGQJ2YYmqBTRZCd21VebIeFa,azure-vm-KCdzspjpwDZRxP1+14roxSpx8A0b9OeLbq4enwncHGQJ2YYmqBTRZCd21VebIeFa,mobile,deploy-/s/D5VtT,us-east-1,2,0,0.058,balanced,2025-01-04 21:59:48.330632,2025-01-04 22:03:18.379254,ci_cd,0.0056,0.000265,0.000239,0.000292
az-n/xweFfdibs08By3+BZH6HDykctD0sJxQoxlUT2ecv01hHaG3YExzIY1GjDiZW4y,azure-vm-n/xweFfdibs08By3+BZH6HDykctD0sJxQoxlUT2ecv01hHaG3YExzIY1GjDiZW4y,analytics,deploy-ubEv6OCa,us-east-1,2,0,0.033,balanced,2025-01-06 17:54:44.927066,2025-01-06 17:56:44.927066,ci_cd,0.0032,0.000152,0.000137,0.000167
az-lPYBlE3a8eJkU2obAeMPrRoQkM2rROe1xQeGmC3jNN1ISzNP28cahMKJuW/8Vrk4,azure-vm-lPYBlE3a8eJkU2obAeMPrRoQkM2rROe1xQeGmC3jNN1ISzNP28cahMKJuW/8Vrk4,mobile,deploy-/s/D5VtT,us-east-1,2,0,0.078,balanced,2025-01-03 20:53:17.406807,2025-01-03 20:57:57.471637,ci_cd,0.0075,0.000356,0.000321,0.000392
az-E/TTHTt9mDrjBQCP4d5c5YVjOi5Ib+BQak2J81GugosRXoiTwb+iX10oSjscKadG,azure-vm-E/TTHTt9mDrjBQCP4d5c5YVjOi5Ib+BQak2J81GugosRXoiTwb+iX10oSjscKadG,eu-backend,deploy-QEqAG+3Q,us-east-1,2,0,0.033,balanced,2025-01-07 19:42:06.418152,2025-01-07 19:44:06.418152,ci_cd,0.0032,0.000152,0.000137,0.000167
az-XzKopPnLujKIzOilKBDA3WXwJHVEF268TsRhGRHDm1L7QjKuYKTvMhBogz9nRYZk,azure-vm-XzKopPnLujKIzOilKBDA3WXwJHVEF268TsRhGRHDm1L7QjKuYKTvMhBogz9nRYZk,analytics,deploy-zhl/kozs,us-east-1,8,0,0.058,balanced,2025-01-02 12:32:40.453809,2025-01-02 12:36:10.502431,ci_cd,0.0223,0.001062,0.000956,0.001169
