entry_id,team_id,recommendation_id,verification_id,points,kgco2e_saved,reason,awarded_at
42419be4,analytics,8dbd1685,f6e159e5,5,0.057979,Verified savings: 58.0 gCO₂e (confirmed),2026-04-30 11:52:41.598165
d56a06f6,data-eng,c01960c6,7df36569,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598206
d7b5c79a,devops,c350f60e,b876a5e5,18,0.181956,Verified savings: 182.0 gCO₂e (confirmed),2026-04-30 11:52:41.598222
20ea5388,eu-frontend,8fe14bd5,492b6613,1,0.027593,Partial savings: 27.6 gCO₂e (50% credit),2026-04-30 11:52:41.598233
8e56886a,platform,2149a6d7,951ff820,4,0.04751,Verified savings: 47.5 gCO₂e (confirmed),2026-04-30 11:52:41.598245
fbdc477a,eu-backend,1f84d69c,b6d45ea1,1,0.013862,Verified savings: 13.9 gCO₂e (confirmed),2026-04-30 11:52:41.598255
b98e7e74,mobile,1f507496,2d3fc643,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.598267
a0bd6479,mobile,b2fb8927,a0be5c3a,41,0.414124,Verified savings: 414.1 gCO₂e (confirmed),2026-04-30 11:52:41.598275
7aa81501,mobile,6dc6b7d7,cb1e5b97,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598284
b37bc8a5,mobile,e1f9e0c4,6d744339,2,0.023692,Verified savings: 23.7 gCO₂e (confirmed),2026-04-30 11:52:41.598300
51298b88,analytics,a2cf12eb,45ac29d4,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598312
2dea0efd,eu-frontend,02968e0b,a57d88bf,2,0.028172,Verified savings: 28.2 gCO₂e (confirmed),2026-04-30 11:52:41.598332
6b83ebdf,platform,d093b5f7,e43c12d0,1,0.013275,Verified savings: 13.3 gCO₂e (confirmed),2026-04-30 11:52:41.598346
b2d518f0,devops,619976dc,7d04b556,14,0.146511,Verified savings: 146.5 gCO₂e (confirmed),2026-04-30 11:52:41.598383
da413cf9,mobile,39256192,f54b892a,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.598394
13a54d26,eu-frontend,aacf426d,3be93831,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598405
8d23c3bf,backend-api,be5f03f0,d1dd7236,7,0.076229,Verified savings: 76.2 gCO₂e (confirmed),2026-04-30 11:52:41.598456
3f2a08aa,data-eng,87365df0,75e7e295,4,0.048268,Verified savings: 48.3 gCO₂e (confirmed),2026-04-30 11:52:41.598473
dde2ac5b,backend-api,dffbc065,09c301d8,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598493
9855ee6c,backend-api,bd589894,bad8e2c4,18,0.183992,Verified savings: 184.0 gCO₂e (confirmed),2026-04-30 11:52:41.598507
d4ed6116,analytics,9e6ac79e,aad0bbe5,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.598552
be58389e,devops,87590a67,e99fd51a,9,0.180202,Partial savings: 180.2 gCO₂e (50% credit),2026-04-30 11:52:41.598577
9aeb9ab4,mobile,af403ae5,7b19aea0,2,0.021987,Verified savings: 22.0 gCO₂e (confirmed),2026-04-30 11:52:41.598589
8f418be1,data-eng,a0f8ccfc,d7134162,1,0.010263,Verified savings: 10.3 gCO₂e (confirmed),2026-04-30 11:52:41.598600
77fdbac8,eu-frontend,bd5377ca,0f08e0a6,1,0.013665,Verified savings: 13.7 gCO₂e (confirmed),2026-04-30 11:52:41.598613
3e9e5d09,platform,95bb21ee,e20c1bbc,87,0.872626,Verified savings: 872.6 gCO₂e (confirmed),2026-04-30 11:52:41.598624
2108d011,frontend,5079fd74,adcf71d8,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.598643
d9d47431,backend-api,7a9c9a0a,e3801b10,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598652
e306f049,data-eng,88ef113b,664e84c7,2,0.026374,Verified savings: 26.4 gCO₂e (confirmed),2026-04-30 11:52:41.598661
e292d05b,devops,c45f6ab3,177e1473,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598672
559abab8,analytics,550b5e77,17a83436,174,1.745251,Verified savings: 1745.3 gCO₂e (confirmed),2026-04-30 11:52:41.598684
405cf749,platform,8d20263d,3d08f050,1,0.014592,Verified savings: 14.6 gCO₂e (confirmed),2026-04-30 11:52:41.598704
6877efc8,mobile,965d7378,7dc946c8,1,0.010594,Verified savings: 10.6 gCO₂e (confirmed),2026-04-30 11:52:41.598713
d48ab62b,frontend,1c9d5fe3,1c89e4e9,1,0.010581,Verified savings: 10.6 gCO₂e (confirmed),2026-04-30 11:52:41.598722
4708ee3f,mobile,26f1db11,8edd8b98,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.598731
42a85db2,frontend,8d747c37,d48c42c2,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598746
d0b950db,analytics,3009589b,e498eef3,7,0.07698,Verified savings: 77.0 gCO₂e (confirmed),2026-04-30 11:52:41.598760
0688a6a5,ml-team,08b143c1,dcad8296,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598770
0270d11b,backend-api,ec5fba7f,aafc89c7,1,0.014115,Verified savings: 14.1 gCO₂e (confirmed),2026-04-30 11:52:41.598779
1b9df74d,data-eng,42887bee,1e4ffd69,1,0.011356,Verified savings: 11.4 gCO₂e (confirmed),2026-04-30 11:52:41.598795
6c0b1e29,platform,a5f2d562,36f4e0b8,208,2.08205,Verified savings: 2082.1 gCO₂e (confirmed),2026-04-30 11:52:41.598808
579e43c3,eu-backend,987917bb,edcbb94b,1,0.012051,Verified savings: 12.1 gCO₂e (confirmed),2026-04-30 11:52:41.598855
f4072dbd,ml-team,5dbb9f19,d6066d32,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598872
b6edf0fe,analytics,6ac87248,382ba50c,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598886
133bb78b,mobile,4a9f16b1,42441d55,1,0.012005,Verified savings: 12.0 gCO₂e (confirmed),2026-04-30 11:52:41.598902
065cdf27,devops,1e6e8c6c,ea756c44,1,0.010413,Verified savings: 10.4 gCO₂e (confirmed),2026-04-30 11:52:41.598919
3f98a9b2,platform,7847839f,6f5d018e,1,0.016783,Verified savings: 16.8 gCO₂e (confirmed),2026-04-30 11:52:41.598932
ddbe7bae,ml-team,6d0f248e,e998e7af,139,1.395979,Verified savings: 1396.0 gCO₂e (confirmed),2026-04-30 11:52:41.598952
f0dc6c38,backend-api,f76436ca,cf02b82c,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598972
