execution_id,recommendation_id,job_id,action_taken,old_region,new_region,execution_status,mock_ticket_id,mock_pr_url,executed_at,pricing_source
637c4ff4,45f79e40,az-WgPZpnNYXuY7z2wxaUvahLwcF0KfVgUbaku/jssAIu+ARTmy2izfDvFUHVrtRgGu,time_shift,eu-west-1,eu-west-1,success,SUST-45F79E,https://github.com/example/repo/pull/45f7,2026-04-30 11:56:51.060705,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
6941ed37,2f328762,az-xHnP4sE1TZ5ZCJP0TqsZS4rfbNg9hA3FniHQFUa0jZqWbmWvtTEUZU+xG4b0tU1c,time_shift,ap-south-1,ap-south-1,success,SUST-2F3287,https://github.com/example/repo/pull/2f32,2026-04-30 11:56:51.061016,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
bee5c8be,ce1101b5,az-65Lvg3enQdG5vph5O0A5sV1t044kBBE/uOhYChZNg18KH+fwzhC8avyymxLPj9c+,time_shift,eu-west-1,eu-west-1,success,SUST-CE1101,https://github.com/example/repo/pull/ce11,2026-04-30 11:56:51.061210,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
62dad586,f5114751,az-mLf+GgKIHBKXqB5SQJ3Z9/7FleU79kKeefDcPPpZGwbrkK8BQyJP26qs/nj99Q9P,region_shift,eu-west-1,eu-north-1,success,SUST-F51147,https://github.com/example/repo/pull/f511,2026-04-30 11:56:51.061306,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
da5ef337,d5a4e721,az-TfuKW35JOr9n6egrZz5iSTMZWvI4fMIYOt8OUBD4xDQVkYyWplVuqOvhiy/TYOOe,time_shift,eu-west-1,eu-west-1,success,SUST-D5A4E7,https://github.com/example/repo/pull/d5a4,2026-04-30 11:56:51.061403,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
944a9a19,19725fe3,az-e6xL14BUWcT5KvL4Rc6zFgnYC7qGS4mFeOQd3zp94Pl6t7ECHcJqsv1xIZ8C7RJq,time_shift,eu-west-1,eu-west-1,success,SUST-19725F,https://github.com/example/repo/pull/1972,2026-04-30 11:56:51.061496,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
fe112604,5ea83a22,az-IiNbzJJbnR0hBRK6Hz22aQGi+mGk/LowdH633HkvOyAh4aBT608X6j6DriBKzguY,time_shift,eu-west-1,eu-west-1,success,SUST-5EA83A,https://github.com/example/repo/pull/5ea8,2026-04-30 11:56:51.062462,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
86517042,43d7efe2,az-+uUyOwbtVV4zrAhYGhaOVeYT5sz605DC0WI7Nx8I2FBku0t0ZLVHc7Rob+eSx2HE,time_shift,eu-west-1,eu-west-1,success,SUST-43D7EF,https://github.com/example/repo/pull/43d7,2026-04-30 11:56:51.062587,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
663c0723,7888cf1c,az-xm9muoZR+/cC5CDKNTxdE0nXWeitimk8kYP7S1sC+gMkHmnXXN7UbP6u20K9dcak,time_shift,eu-west-1,eu-west-1,success,SUST-7888CF,https://github.com/example/repo/pull/7888,2026-04-30 11:56:51.062687,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
e8d4bf19,9b22356b,az-ehhvCWPrJ/uyFImXXamAwNaG/zlsjF7PO+IQsssdp64hHlyZcrUaWD0Wi1+KBIlU,region_shift+time_shift,us-east-1,us-west-2,success,SUST-9B2235,https://github.com/example/repo/pull/9b22,2026-04-30 11:56:51.062776,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
