decision_id,recommendation_id,original_risk_level,final_risk_level,decision,reason,llm_reasoning,decided_at,decided_by,policy_version
bc6e862b,45f79e40,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.052440,single_model,v1.0
3e68d315,2f328762,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.060729,single_model,v1.0
ea7e2a06,ce1101b5,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.061044,single_model,v1.0
ced6a3b8,f5114751,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.061221,single_model,v1.0
e4867cb1,d5a4e721,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.061314,single_model,v1.0
d52b8abf,19725fe3,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.061410,single_model,v1.0
ad9be552,5ea83a22,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.061503,single_model,v1.0
f961389b,43d7efe2,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062477,single_model,v1.0
b9b51bb9,7888cf1c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062596,single_model,v1.0
0ac2bace,9b22356b,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062694,single_model,v1.0
2f8a84ca,a7dc770c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062783,single_model,v1.0
6307037c,facae71b,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062871,single_model,v1.0
862b4c04,8aba2010,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.062951,single_model,v1.0
182eef89,d588155c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063034,single_model,v1.0
f180a662,1a140612,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063116,single_model,v1.0
27148895,577959e5,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063205,single_model,v1.0
