entry_id,team_id,recommendation_id,verification_id,points,kgco2e_saved,reason,awarded_at
a98c25dc,analytics,d5a4e721,55768014,5,0.057979,single_model:confirmed,2026-04-30 11:56:54.193560
11244898,data-eng,9b22356b,47831d84,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.193613
637a9443,devops,facae71b,b8a7817d,18,0.181956,single_model:confirmed,2026-04-30 11:56:54.193627
96b7f432,eu-frontend,8aba2010,eb64b473,1,0.027593,single_model:partial,2026-04-30 11:56:54.193652
d35a6282,platform,1a140612,7495434d,4,0.04751,single_model:confirmed,2026-04-30 11:56:54.193661
4077ec50,eu-backend,577959e5,0471e686,1,0.013862,single_model:confirmed,2026-04-30 11:56:54.193669
f500d954,mobile,a424363c,936d8ece,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.193677
5fd14e9a,mobile,d8cc643a,1e35ae32,41,0.414124,single_model:confirmed,2026-04-30 11:56:54.193684
6dac878d,mobile,df32ee3f,03696e77,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.193691
15a68cf6,mobile,81519e30,9ac8535e,2,0.023692,single_model:confirmed,2026-04-30 11:56:54.193702
a7ef53b4,analytics,3d28e363,a6d4f97a,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.193709
308d383d,eu-frontend,57edb828,1929992f,2,0.028172,single_model:confirmed,2026-04-30 11:56:54.193720
b0eaf99f,platform,de650aca,e8bc949f,1,0.013275,single_model:confirmed,2026-04-30 11:56:54.193727
37b2b9ae,devops,baeee9a5,c851de07,14,0.146511,single_model:confirmed,2026-04-30 11:56:54.193773
992b178d,mobile,5d3da3e8,bd6b0b81,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.193792
47fbc86c,eu-frontend,e9c26f30,91c6d1a9,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.193804
b9c736bc,backend-api,12808c46,002112d1,7,0.076229,single_model:confirmed,2026-04-30 11:56:54.193816
679f7ffa,data-eng,c69f5942,863040a2,4,0.048268,single_model:confirmed,2026-04-30 11:56:54.193829
01b7c7ef,backend-api,f8ae15ee,af0e23e3,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.193844
839bc382,backend-api,d6003451,a85ee189,18,0.183992,single_model:confirmed,2026-04-30 11:56:54.193858
f2459a76,analytics,fa42c3a3,9de69ff8,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.193876
c5fa2591,devops,1e4120ef,98f25324,9,0.180202,single_model:partial,2026-04-30 11:56:54.193889
8e8c0e68,mobile,83cf0e06,d4197c1a,2,0.021987,single_model:confirmed,2026-04-30 11:56:54.193900
0674cf4a,data-eng,c8e5ddbe,ed74ae6d,1,0.010263,single_model:confirmed,2026-04-30 11:56:54.193913
c609cef7,eu-frontend,876079e9,24122b8f,1,0.013665,single_model:confirmed,2026-04-30 11:56:54.193927
bbded50d,platform,9a59132b,4e585a13,87,0.872626,single_model:confirmed,2026-04-30 11:56:54.193940
30b31553,frontend,b721c980,32c45d13,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.193972
dd25484a,backend-api,1b8c01b1,a85003d4,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195389
ab7e0e66,data-eng,a316cc10,0dc40fea,2,0.026374,single_model:confirmed,2026-04-30 11:56:54.195433
e2fb84bc,devops,5ed17723,73ed0ed9,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195445
4fafa5f2,analytics,a69eb81c,2203ee42,174,1.745251,single_model:confirmed,2026-04-30 11:56:54.195456
a51d6cde,platform,2ac168a8,50d458aa,1,0.014592,single_model:confirmed,2026-04-30 11:56:54.195471
52c65e24,mobile,ea9684fb,5549fd40,1,0.010594,single_model:confirmed,2026-04-30 11:56:54.195479
