recommendation_id,job_id,action_type,current_region,proposed_region,current_time,proposed_time,est_carbon_delta_kg,est_cost_delta_usd,confidence,rationale,status,risk_level,pricing_source
45f79e40,az-WgPZpnNYXuY7z2wxaUvahLwcF0KfVgUbaku/jssAIu+ARTmy2izfDvFUHVrtRgGu,time_shift,eu-west-1,eu-west-1,2025-01-03 20:31:07.098865,2025-01-04 00:31:07.098865,-0.000635,0.0,0.805,[fallback] time_shift: estimated 0.6 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
2f328762,az-xHnP4sE1TZ5ZCJP0TqsZS4rfbNg9hA3FniHQFUa0jZqWbmWvtTEUZU+xG4b0tU1c,time_shift,ap-south-1,ap-south-1,2025-01-06 19:42:06.418152,2025-01-06 23:42:06.418152,-7.4e-05,0.0,0.827,[fallback] time_shift: estimated 0.1 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
ce1101b5,az-65Lvg3enQdG5vph5O0A5sV1t044kBBE/uOhYChZNg18KH+fwzhC8avyymxLPj9c+,time_shift,eu-west-1,eu-west-1,2025-01-01 02:28:12.058347,2025-01-01 06:28:12.058347,-8.9e-05,0.0,0.735,[fallback] time_shift: estimated 0.1 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
f5114751,az-mLf+GgKIHBKXqB5SQJ3Z9/7FleU79kKeefDcPPpZGwbrkK8BQyJP26qs/nj99Q9P,region_shift,eu-west-1,eu-north-1,2025-01-07 12:33:50.470016,2025-01-07 12:33:50.470016,-0.004757,0.0117,0.95,[fallback] region_shift: estimated 4.8 gCO2e reduction at $0.0117 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
d5a4e721,az-TfuKW35JOr9n6egrZz5iSTMZWvI4fMIYOt8OUBD4xDQVkYyWplVuqOvhiy/TYOOe,time_shift,eu-west-1,eu-west-1,2025-01-01 00:00:00.000000,2025-01-01 04:00:00.000000,-0.05798,0.0,0.851,[fallback] time_shift: estimated 58.0 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
19725fe3,az-e6xL14BUWcT5KvL4Rc6zFgnYC7qGS4mFeOQd3zp94Pl6t7ECHcJqsv1xIZ8C7RJq,time_shift,eu-west-1,eu-west-1,2025-01-05 18:47:15.656402,2025-01-05 22:47:15.656402,-2.9e-05,0.0,0.641,[fallback] time_shift: estimated 0.0 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
5ea83a22,az-IiNbzJJbnR0hBRK6Hz22aQGi+mGk/LowdH633HkvOyAh4aBT608X6j6DriBKzguY,time_shift,eu-west-1,eu-west-1,2025-01-04 11:07:29.270665,2025-01-04 15:07:29.270665,-7.7e-05,0.0,0.652,[fallback] time_shift: estimated 0.1 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
43d7efe2,az-+uUyOwbtVV4zrAhYGhaOVeYT5sz605DC0WI7Nx8I2FBku0t0ZLVHc7Rob+eSx2HE,time_shift,eu-west-1,eu-west-1,2025-01-04 00:44:20.615883,2025-01-04 04:44:20.615883,-1.5e-05,0.0,0.637,[fallback] time_shift: estimated 0.0 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
7888cf1c,az-xm9muoZR+/cC5CDKNTxdE0nXWeitimk8kYP7S1sC+gMkHmnXXN7UbP6u20K9dcak,time_shift,eu-west-1,eu-west-1,2025-01-01 03:49:53.192869,2025-01-01 07:49:53.192869,-1.3e-05,0.0,0.649,[fallback] time_shift: estimated 0.0 gCO2e reduction at $0.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
9b22356b,az-ehhvCWPrJ/uyFImXXamAwNaG/zlsjF7PO+IQsssdp64hHlyZcrUaWD0Wi1+KBIlU,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 00:00:00.000000,2025-01-01 16:00:00.000000,-0.697989,1.0,0.95,[fallback] region_shift+time_shift: estimated 698.0 gCO2e reduction at $1.0000 cost delta.,verified,low,"AWS On-Demand Pricing snapshot 2025-01-15 (m5.large / g4dn.xlarge Linux, public pricing pages)"
