verification_id,recommendation_id,counterfactual_kgco2e,actual_kgco2e,verified_savings_kgco2e,ci_lower,ci_upper,sla_compliant,verification_status,evidence_chain_steps,verified_at
1e9752a5,45f79e40,0.001238,0.000603,0.000634,0.000266,0.001002,True,confirmed,7,2026-04-30 11:56:52.041412
1a485144,2f328762,0.00056,0.000486,7.3e-05,-3.1e-05,0.000178,True,partial,7,2026-04-30 11:56:52.046028
60b713d6,ce1101b5,0.000264,0.000175,8.9e-05,2e-06,0.000177,True,confirmed,7,2026-04-30 11:56:52.049273
ef0cd62f,f5114751,0.005239,0.000482,0.004757,0.003613,0.0059,True,confirmed,7,2026-04-30 11:56:52.050685
55768014,d5a4e721,0.092297,0.034317,0.057979,0.032657,0.083302,True,confirmed,7,2026-04-30 11:56:52.052999
0e4e7d78,19725fe3,0.000287,0.000258,2.9e-05,-8e-05,0.000138,True,partial,7,2026-04-30 11:56:52.055139
5e73a096,5ea83a22,0.000589,0.000512,7.7e-05,-0.000143,0.000298,True,partial,7,2026-04-30 11:56:52.058357
c4e4d9cf,43d7efe2,0.000146,0.000131,1.5e-05,-4e-05,7.1e-05,True,partial,7,2026-04-30 11:56:52.060532
494ac432,7888cf1c,9.4e-05,8.1e-05,1.3e-05,-2.2e-05,4.8e-05,True,partial,7,2026-04-30 11:56:52.063991
47831d84,9b22356b,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:52.066916
4f2ea60d,a7dc770c,0.000703,0.00022,0.000483,0.000298,0.000667,True,confirmed,7,2026-04-30 11:56:52.069568
b8a7817d,facae71b,0.192779,0.010823,0.181956,0.161601,0.202338,True,confirmed,7,2026-04-30 11:56:52.072507
eb64b473,8aba2010,0.125891,0.098298,0.027593,-0.017256,0.072442,True,partial,7,2026-04-30 11:56:52.074952
69b768f8,d588155c,0.001399,0.00123,0.000168,-0.000357,0.000694,True,partial,7,2026-04-30 11:56:52.078877
7495434d,1a140612,0.07563,0.02812,0.04751,0.02676,0.06826,True,confirmed,7,2026-04-30 11:56:52.227465
0471e686,577959e5,0.01511,0.001248,0.013862,0.012223,0.015498,True,confirmed,7,2026-04-30 11:56:52.231551
741737f5,5454c1ae,8.6e-05,4.6e-05,4e-05,2.6e-05,5.3e-05,True,confirmed,7,2026-04-30 11:56:52.241263
e1be4c40,14c4c1c8,0.008395,0.00077,0.007625,0.006706,0.00854,True,confirmed,7,2026-04-30 11:56:52.409609
936d8ece,a424363c,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:52.411792
1e35ae32,d8cc643a,0.447784,0.033661,0.414124,0.36599,0.462367,True,confirmed,7,2026-04-30 11:56:52.413867
03696e77,df32ee3f,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:52.422295
2fee18bd,f1890ffa,0.008452,0.000807,0.007645,0.005792,0.009495,True,confirmed,7,2026-04-30 11:56:52.425498
e0fe2a0a,180b7c7f,0.00044,0.000236,0.000204,0.000136,0.000273,True,confirmed,7,2026-04-30 11:56:52.430705
96b50555,cbf73730,0.004008,0.002191,0.001817,0.001202,0.002439,True,confirmed,7,2026-04-30 11:56:52.507905
023f4080,4c34789f,0.000632,0.000196,0.000437,0.000271,0.000602,True,confirmed,7,2026-04-30 11:56:52.547511
2af93592,758c9b46,0.002129,0.001143,0.000986,0.000659,0.001318,True,confirmed,7,2026-04-30 11:56:52.555679
c3e031ec,7086ef42,4.6e-05,2.7e-05,1.9e-05,1.2e-05,2.7e-05,True,confirmed,7,2026-04-30 11:56:52.557795
f0222896,1d70f2ce,0.008705,0.000677,0.008028,0.007091,0.008965,True,confirmed,7,2026-04-30 11:56:52.659065
9ac8535e,81519e30,0.026085,0.002393,0.023692,0.020837,0.026535,True,confirmed,7,2026-04-30 11:56:52.719354
a6d4f97a,3d28e363,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:52.722299
08630a8d,1d49583e,0.001207,0.00082,0.000387,-1.8e-05,0.000793,True,partial,7,2026-04-30 11:56:52.724645
4cf3a8d0,a5714001,0.005878,0.000448,0.005431,0.004799,0.006065,True,confirmed,7,2026-04-30 11:56:52.727159
2df2a996,333f37c8,0.000224,0.000195,2.9e-05,-5.5e-05,0.000112,True,partial,7,2026-04-30 11:56:52.732114
6c9f799a,28ca53c0,0.001156,0.000974,0.000181,-0.000129,0.000492,True,partial,7,2026-04-30 11:56:52.741033
1929992f,57edb828,0.065051,0.036879,0.028172,0.00779,0.048575,True,confirmed,7,2026-04-30 11:56:52.743658
e8bc949f,de650aca,0.014786,0.001511,0.013275,0.011646,0.014904,True,confirmed,7,2026-04-30 11:56:52.749633
e99ce8b0,499545bb,0.000164,0.000104,6e-05,6e-06,0.000113,True,confirmed,7,2026-04-30 11:56:52.756441
3bd66bd5,485b6d97,0.006391,0.000653,0.005738,0.005034,0.006442,True,confirmed,7,2026-04-30 11:56:52.758939
0d21be6e,1f3e9956,0.000148,0.000116,3.3e-05,-2e-05,8.5e-05,True,partial,7,2026-04-30 11:56:52.810694
398a34e2,1edde273,7.4e-05,4e-05,3.4e-05,2.3e-05,4.6e-05,True,confirmed,7,2026-04-30 11:56:52.843107
bd9314e1,44a6089b,0.0002,0.000152,4.9e-05,1.4e-05,8.4e-05,True,confirmed,7,2026-04-30 11:56:52.845427
4e384cb2,d1ed3a0a,0.006409,0.000488,0.005921,0.005233,0.006613,True,confirmed,7,2026-04-30 11:56:52.893794
95e9d8f4,ba3ed6fc,7.5e-05,4.1e-05,3.4e-05,2.2e-05,4.5e-05,True,confirmed,7,2026-04-30 11:56:52.896773
ca12848d,4042d138,0.000126,8.9e-05,3.7e-05,-6e-06,8e-05,True,partial,7,2026-04-30 11:56:52.899703
c851de07,baeee9a5,0.155703,0.009192,0.146511,0.130024,0.162973,True,confirmed,7,2026-04-30 11:56:52.907336
bd6b0b81,5d3da3e8,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:52.909599
91c6d1a9,e9c26f30,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:52.911830
34c01dc3,4903179a,0.00044,0.000236,0.000204,0.000136,0.000273,True,confirmed,7,2026-04-30 11:56:52.913733
